@relation Instances

@attribute athletics_hints_count numeric
@attribute cricket_hints_count numeric
@attribute football_hints_count numeric
@attribute rugby_hints_count numeric
@attribute tennis_hints_count numeric
@attribute capitalized_words_count numeric
@attribute gender_dominance numeric
@attribute text_length numeric
@attribute sentences_count numeric
@attribute paragraphs_count numeric
@attribute words_per_sentence_average numeric
@attribute quote_count numeric
@attribute single_sport_hints_count numeric
@attribute team_sport_hints_count numeric
@attribute number_count numeric
@attribute class {athletics,cricket,football,rugby,tennis}

@data
1,0,0,0,0,47,1,1245,11,4,19,0,1,0,8,athletics
1,0,0,0,0,46,1,902,7,3,20,0,0,2,5,athletics
0,0,0,0,0,86,0,2065,23,4,16,1,6,0,10,athletics
6,0,0,0,0,33,0,1133,9,3,21,2,0,5,1,athletics
0,0,0,0,0,60,0,955,10,3,17,0,0,0,22,athletics
0,0,0,0,0,42,0,823,7,3,21,0,1,0,11,athletics
0,0,0,0,0,37,0,744,6,3,21,0,0,0,7,athletics
1,0,0,0,0,34,1,1294,9,3,26,1,0,2,4,athletics
1,0,0,0,0,114,0,2262,22,8,18,1,1,0,32,athletics
0,0,0,0,0,72,0,1451,12,3,20,0,4,0,11,athletics
2,0,0,0,0,44,1,1148,12,3,16,1,0,9,5,athletics
0,0,0,0,0,45,0,1310,12,4,18,1,0,0,3,athletics
2,0,0,0,0,59,1,1867,17,5,18,1,1,7,7,athletics
0,0,0,0,0,96,0,2811,21,5,23,2,9,2,10,athletics
5,0,0,0,0,31,0,887,7,3,20,1,0,3,2,athletics
6,0,0,0,0,50,0,1558,12,3,21,1,0,1,5,athletics
3,0,0,0,0,53,0,1554,12,4,21,2,0,3,3,athletics
0,0,0,0,0,91,0,1484,11,6,22,0,0,0,38,athletics
2,0,0,0,0,39,0,819,7,3,19,0,0,2,5,athletics
0,0,0,0,0,45,0,1310,12,4,18,1,0,0,3,athletics
3,0,0,0,0,53,1,1572,13,4,20,1,0,7,3,athletics
0,0,0,0,0,51,1,1262,14,3,15,0,2,0,7,athletics
4,0,0,0,0,75,0,2551,21,4,19,2,2,4,4,athletics
0,0,0,0,0,47,1,1007,7,3,23,0,0,0,2,athletics
0,0,0,0,0,77,0,1648,14,5,20,1,2,0,12,athletics
2,0,0,0,0,30,1,940,8,3,19,0,0,2,3,athletics
5,0,0,0,0,50,1,991,8,3,21,0,0,0,7,athletics
1,0,0,0,0,82,0,1824,17,5,18,1,1,0,19,athletics
0,0,0,0,0,41,1,864,8,3,17,1,1,0,6,athletics
8,0,0,0,0,128,0,4257,28,5,26,0,0,4,16,athletics
2,0,0,0,0,32,0,846,8,3,18,1,1,0,3,athletics
0,0,0,0,0,64,0,1215,12,3,16,0,0,0,15,athletics
3,0,0,0,0,58,0,1589,14,4,18,3,0,1,4,athletics
4,0,0,0,0,148,1,5106,47,24,20,1,5,11,17,athletics
3,0,0,0,0,62,1,1905,17,4,17,1,0,3,3,athletics
0,0,0,0,0,42,1,1333,10,4,22,2,0,1,0,athletics
3,0,0,0,0,47,0,1650,15,4,18,2,0,1,4,athletics
0,0,0,0,0,46,1,2038,21,5,18,0,0,0,3,athletics
1,0,0,0,0,34,1,1005,8,3,21,1,0,1,1,athletics
4,0,0,0,0,112,1,4320,42,12,17,7,1,0,6,athletics
2,0,0,0,0,61,0,1257,9,4,25,1,2,1,16,athletics
0,0,0,0,0,38,1,1293,11,3,20,0,0,0,4,athletics
7,0,2,2,0,103,0,3065,21,4,23,1,0,5,8,athletics
1,0,0,0,0,51,1,1547,15,4,18,2,3,0,4,athletics
4,0,0,0,0,65,0,1838,14,4,21,1,0,3,3,athletics
6,0,0,0,0,17,1,1181,10,5,19,2,0,0,1,athletics
0,0,0,0,0,53,0,1656,15,4,19,1,2,0,3,athletics
2,0,0,0,0,86,0,2626,20,4,21,2,2,1,6,athletics
1,0,0,0,0,95,1,2861,23,4,19,5,0,6,4,athletics
3,0,0,0,0,53,0,1573,13,4,20,0,0,0,1,athletics
1,0,0,0,0,60,0,1659,14,4,19,0,0,0,5,athletics
1,0,0,0,0,38,1,812,7,3,20,1,1,0,4,athletics
0,0,0,0,0,39,0,934,7,3,22,1,1,1,3,athletics
4,0,0,0,0,59,0,1854,18,5,16,2,0,7,4,athletics
1,0,0,0,0,50,1,1424,11,4,23,1,4,0,6,athletics
0,0,0,0,0,37,1,853,6,3,23,0,0,0,2,athletics
7,0,0,0,0,109,1,4415,39,6,19,3,0,2,10,athletics
3,0,0,0,0,192,0,5041,47,19,18,3,4,0,60,athletics
2,0,0,0,0,98,1,3642,35,7,19,0,1,5,7,athletics
1,0,0,0,0,144,0,2240,18,4,22,0,0,2,49,athletics
1,0,0,0,0,179,1,3928,31,15,22,0,0,0,58,athletics
2,0,0,0,0,69,0,1406,11,3,21,0,0,2,4,athletics
1,0,0,0,0,76,1,1620,15,4,18,1,3,0,7,athletics
0,0,0,0,0,49,0,1232,11,3,18,0,1,0,9,athletics
0,0,0,0,0,67,1,1577,15,4,18,2,2,1,17,athletics
4,0,0,0,0,202,1,4802,40,13,20,0,0,8,34,athletics
0,0,0,0,0,50,0,987,8,3,22,1,2,2,7,athletics
2,0,0,0,0,316,1,4033,47,26,13,2,0,4,10,athletics
1,0,0,0,0,213,1,4762,41,19,20,3,4,0,55,athletics
